f1,f2,f3,f4,ax,ay,az,label
778,4095,408,448,-0.55,4.46,9.39,HELLO
779,4095,409,448,-1.42,4.82,10.17,HELLO
778,4095,409,448,-2.06,4.58,10.71,HELLO
778,4095,409,448,-2.48,4.57,10.95,HELLO
778,4095,409,448,-2.07,4.90,10.25,HELLO
778,4095,409,448,-1.61,5.16,9.74,HELLO
778,4095,409,448,-0.95,5.84,9.57,HELLO
778,4095,409,448,-0.25,6.02,9.31,HELLO
778,4095,410,448,-0.24,5.57,9.54,HELLO
778,4095,410,448,0.05,5.31,9.29,HELLO
779,4095,410,448,0.50,5.20,8.08,HELLO
779,4095,410,448,0.51,5.29,7.20,HELLO
779,4095,410,448,0.73,5.32,7.02,HELLO
779,4095,410,448,0.95,5.37,7.15,HELLO
779,4095,410,447,0.72,5.95,7.57,HELLO
779,4095,410,447,0.38,6.42,7.80,HELLO
779,4095,410,447,0.36,6.46,7.97,HELLO
779,4095,410,447,0.85,6.42,7.52,HELLO
779,4095,410,447,1.32,6.59,6.84,HELLO
779,4095,409,447,1.49,6.85,6.59,HELLO
779,4095,409,447,1.95,6.34,6.48,HELLO
779,4095,409,447,2.12,6.06,6.34,HELLO
779,4095,409,447,2.58,6.39,5.72,HELLO
779,4095,409,447,2.94,6.40,5.16,HELLO

































































































































779,4095,409,447,2.79,6.52,4.91,HELLO
779,4095,409,447,2.97,6.42,5.01,HELLO
779,4095,409,447,2.99,6.39,4.96,HELLO
779,4095,409,447,2.58,9.20,4.85,HELLO
779,4095,409,447,2.84,6.51,5.69,HELLO
779,4095,409,447,3.39,6.41,5.51,HELLO
779,4095,409,447,2.89,7.28,5.55,HELLO
779,4095,409,447,2.38,7.99,5.71,HELLO
779,4095,409,447,1.94,7.75,6.15,HELLO
779,4095,408,447,2.25,7.19,6.42,HELLO
778,4095,408,447,2.70,7.52,6.35,HELLO
778,4095,408,447,2.61,7.44,6.66,HELLO
779,4095,408,447,2.64,7.41,6.93,HELLO
779,4095,408,447,2.64,7.50,6.68,HELLO
779,4095,408,447,2.44,7.70,6.41,HELLO
778,4095,408,447,1.71,7.89,6.80,HELLO
778,4095,408,447,1.53,8.23,6.95,HELLO
778,4095,408,447,1.53,8.94,7.44,HELLO
778,4095,408,447,2.08,8.97,7.82,HELLO
779,4095,408,447,2.33,8.55,7.87,HELLO
779,4095,408,447,2.24,7.92,7.77,HELLO
779,4095,408,447,2.59,7.30,7.45,HELLO
779,4095,408,447,3.15,6.57,6.61,HELLO
779,4095,408,447,3.55,6.08,6.24,HELLO
779,4095,409,447,3.82,5.74,5.57,HELLO
780,4095,409,447,4.07,5.56,4.99,HELLO
780,4095,409,447,4.65,5.62,4.45,HELLO
779,4095,409,447,5.31,5.53,4.10,HELLO
780,4095,409,447,5.89,5.48,4.08,HELLO
780,4095,409,447,6.44,5.49,4.20,HELLO
780,4095,409,447,6.62,5.56,4.23,HELLO
780,4095,409,447,6.89,5.66,4.47,HELLO
780,4095,409,447,6.64,5.87,4.95,HELLO
780,4095,409,447,6.53,5.97,5.11,HELLO
780,4095,409,447,6.44,5.89,5.16,HELLO
780,4095,409,447,6.14,5.43,5.57,HELLO
780,4095,409,447,7.22,5.09,5.07,HELLO
780,4095,409,447,8.91,5.26,4.33,HELLO
780,4095,409,447,9.39,5.09,3.92,HELLO
780,4095,408,447,9.31,5.29,3.37,HELLO
780,4095,408,447,8.54,5.46,3.30,HELLO
780,4095,408,447,6.77,5.39,3.57,HELLO
780,4095,408,447,5.53,5.89,4.02,HELLO
780,4095,408,447,5.12,5.97,4.23,HELLO
780,4095,408,447,4.87,5.69,4.88,HELLO
780,4095,408,447,5.62,5.45,5.00,HELLO
780,4095,408,447,6.54,5.35,5.17,HELLO
780,4095,408,447,7.64,5.04,4.70,HELLO
780,4095,408,447,7.96,5.15,4.35,HELLO
781,4095,408,447,8.65,5.39,3.86,HELLO
781,4095,408,447,8.98,5.51,3.70,HELLO
781,4095,408,447,8.07,5.32,3.73,HELLO
781,4095,408,447,7.45,5.46,4.00,HELLO
781,4095,408,447,7.35,5.32,3.90,HELLO
781,4095,408,447,6.88,5.22,3.81,HELLO
781,4095,408,447,6.55,4.93,3.76,HELLO
781,4095,408,447,6.52,4.97,3.88,HELLO
781,4095,408,447,6.65,4.71,3.64,HELLO
781,4095,408,448,6.51,4.60,4.00,HELLO
781,4095,409,448,6.51,4.86,3.99,HELLO
781,4095,409,448,6.84,5.48,3.85,HELLO
781,4095,409,448,6.74,6.45,3.73,HELLO
781,4095,409,448,7.46,6.74,3.63,HELLO
781,4095,409,448,7.75,6.72,4.45,HELLO
781,4095,409,448,7.44,6.27,4.82,HELLO
781,4095,409,448,7.16,6.11,5.15,HELLO
781,4095,409,448,5.71,6.18,5.25,HELLO
781,4095,409,448,3.34,6.40,6.04,HELLO
780,4095,409,448,0.09,7.09,7.67,HELLO
780,4095,409,448,-0.16,6.65,8.09,HELLO
780,4095,409,448,1.19,7.06,7.78,HELLO
780,4095,409,447,3.80,7.17,6.38,HELLO
780,4095,408,447,5.01,6.86,6.10,HELLO
780,4095,408,447,6.23,6.77,5.84,HELLO
780,4095,408,447,4.07,6.98,6.13,HELLO
780,4095,408,447,3.57,7.19,5.62,HELLO
780,4095,408,447,3.71,7.02,5.59,HELLO
781,4095,408,447,3.64,6.52,6.05,HELLO
780,4095,408,447,3.54,6.28,6.54,HELLO
780,4095,408,447,3.06,5.93,7.22,HELLO
780,4095,408,447,3.47,5.89,7.38,HELLO
780,4095,408,447,4.44,6.02,6.96,HELLO
780,4095,408,447,5.20,6.21,6.60,HELLO
781,4095,408,447,5.36,6.43,6.26,HELLO
781,4095,408,447,5.60,6.38,6.11,HELLO
780,4095,408,447,5.82,6.36,5.73,HELLO
781,4095,408,447,5.36,6.09,6.14,HELLO
781,4095,408,447,5.44,5.87,6.26,HELLO
780,4095,408,447,5.53,5.67,6.46,HELLO
781,4095,409,447,5.00,5.51,6.73,HELLO
781,4095,409,447,4.93,5.33,6.69,HELLO
781,4095,409,447,5.42,5.55,6.75,HELLO
780,4095,409,447,5.47,5.55,6.59,HELLO
780,4095,408,447,5.42,5.60,6.31,HELLO
781,4095,408,447,5.67,5.37,6.06,HELLO
781,4095,409,447,4.92,5.32,6.52,HELLO
781,4095,409,447,5.06,5.20,6.57,HELLO
780,4095,409,447,5.16,5.18,6.72,HELLO
780,4095,409,447,5.25,5.20,6.53,HELLO
780,4095,409,447,5.64,5.37,6.30,HELLO
780,4095,409,448,5.17,5.40,6.63,HELLO
780,4095,409,448,5.45,5.55,6.51,HELLO
780,4095,409,448,5.18,5.44,6.55,HELLO
780,4095,409,447,5.36,5.49,6.29,HELLO
780,4095,409,447,5.28,5.55,6.45,HELLO
780,4095,409,447,5.36,5.46,6.65,HELLO
780,4095,409,447,5.51,5.59,6.40,HELLO
781,4095,409,447,5.42,5.63,6.60,HELLO
780,4095,409,447,5.44,5.69,6.36,HELLO
781,4095,410,447,5.86,5.60,6.42,HELLO
781,4095,409,447,5.71,5.66,6.27,HELLO
781,4095,409,447,5.44,5.71,6.31,HELLO
781,4095,410,447,5.11,5.63,6.33,HELLO
781,4095,410,447,5.36,5.47,6.19,HELLO
781,4095,410,447,5.49,5.31,6.03,HELLO
781,4095,410,447,6.14,5.38,5.68,HELLO
780,4095,410,447,6.53,5.34,5.48,HELLO
781,4095,409,447,6.36,5.40,5.60,HELLO
781,4095,409,447,5.72,5.59,5.80,HELLO
781,4095,409,447,5.09,5.63,6.80,HELLO
781,4095,409,447,4.63,5.88,6.98,HELLO
781,4095,409,447,5.02,5.90,6.79,HELLO
780,4095,409,447,5.32,5.94,6.69,HELLO
780,4095,409,447,5.56,6.08,6.30,HELLO
780,4095,409,447,5.74,5.90,6.07,HELLO
780,4095,409,447,5.64,5.77,6.26,HELLO
780,4095,409,447,5.93,5.49,6.16,HELLO
780,4095,409,447,6.46,5.29,5.96,HELLO
780,4095,409,447,6.62,5.15,5.86,HELLO
780,4095,409,447,7.19,5.18,5.08,HELLO
781,4095,409,447,7.14,5.20,4.82,HELLO
781,4095,409,447,6.70,5.06,4.99,HELLO
781,4095,409,447,6.15,4.89,5.53,HELLO
781,4095,409,447,6.39,4.86,5.45,HELLO
781,4095,409,447,6.28,4.93,5.72,HELLO
781,4095,409,447,6.16,4.94,5.88,HELLO
780,4095,410,447,5.98,4.94,6.29,HELLO
780,4095,409,447,5.94,5.04,6.15,HELLO
780,4095,409,447,5.93,5.22,5.95,HELLO
780,4095,410,447,6.00,5.18,6.04,HELLO
780,4095,410,447,6.10,5.22,6.48,HELLO
780,4095,409,447,5.96,5.00,6.80,HELLO
780,4095,409,447,5.75,5.00,6.92,HELLO
780,4095,409,447,5.64,4.90,7.00,HELLO
780,4095,409,447,5.80,4.93,6.68,HELLO
780,4095,409,447,5.79,4.94,6.58,HELLO
780,4095,409,447,5.89,4.90,6.55,HELLO
780,4095,409,447,5.88,4.86,6.46,HELLO
780,4095,409,447,5.91,4.87,6.40,HELLO
780,4095,409,447,5.92,4.92,6.53,HELLO
780,4095,409,447,5.94,4.94,6.54,HELLO
780,4095,409,447,5.98,4.91,6.48,HELLO
780,4095,409,447,5.91,4.92,6.53,HELLO
780,4095,409,447,5.94,4.87,6.52,HELLO
780,4095,409,447,5.82,4.83,6.44,HELLO
780,4095,409,447,5.84,4.70,6.51,HELLO
780,4095,409,447,5.97,4.74,6.55,HELLO
780,4095,409,447,6.05,4.99,6.42,HELLO
780,4095,409,447,6.05,4.92,6.47,HELLO
779,4095,409,447,6.11,4.91,6.30,HELLO
780,4095,409,447,5.95,4.86,6.22,HELLO
780,4095,409,447,5.97,4.87,6.30,HELLO
780,4095,410,447,6.04,4.91,6.16,HELLO
780,4095,410,447,6.05,4.85,6.40,HELLO
780,4095,410,447,6.14,4.88,6.51,HELLO
780,4095,410,447,5.98,4.91,6.56,HELLO
780,4095,410,447,5.82,4.92,6.52,HELLO
780,4095,410,447,5.91,4.86,6.49,HELLO
780,4095,410,447,6.08,4.72,6.43,HELLO
780,4095,410,447,5.99,4.79,6.49,HELLO
780,4095,410,447,5.89,4.81,6.44,HELLO
780,4095,410,447,5.95,4.86,6.49,HELLO
780,4095,410,447,5.94,4.73,6.68,HELLO
780,4095,410,447,5.89,4.77,6.79,HELLO
780,4095,410,447,5.88,4.80,6.62,HELLO
779,4095,410,447,5.94,4.79,6.54,HELLO
779,4095,410,447,5.98,4.76,6.53,HELLO
779,4095,410,447,6.00,4.75,6.63,HELLO
779,4095,410,447,5.94,4.80,6.62,HELLO
779,4095,410,447,5.89,4.82,6.56,HELLO
779,4095,409,447,5.91,4.73,6.63,HELLO
779,4095,409,447,5.98,4.73,6.53,HELLO
779,4095,409,447,5.91,4.86,6.57,HELLO
779,4095,410,447,5.93,4.78,6.52,HELLO
779,4095,410,447,5.98,4.77,6.73,HELLO
779,4095,410,447,5.97,4.81,6.65,HELLO
779,4095,410,447,5.79,4.86,6.62,HELLO
779,4095,410,447,5.86,4.88,6.54,HELLO
779,4095,410,447,5.98,4.85,6.45,HELLO
779,4095,410,447,5.88,4.79,6.64,HELLO
779,4095,409,447,5.89,4.81,6.67,HELLO
779,4095,409,447,5.98,4.81,6.57,HELLO
779,4095,409,447,5.84,4.85,6.60,HELLO
779,4095,409,447,5.91,4.74,6.69,HELLO
779,4095,409,447,5.99,4.69,6.73,HELLO
779,4095,409,447,5.92,4.78,6.65,HELLO
779,4095,409,447,5.88,4.71,6.53,HELLO
779,4095,409,447,5.98,4.60,6.52,HELLO
779,4095,409,447,5.89,4.71,6.55,HELLO
778,4095,409,447,5.90,4.72,6.53,HELLO
778,4095,409,447,5.96,4.64,6.64,HELLO
778,4095,409,447,6.07,4.77,6.64,HELLO
778,4095,409,447,5.91,4.88,6.68,HELLO
778,4095,409,447,5.88,4.87,6.71,HELLO
778,4095,409,447,6.03,4.85,6.53,HELLO
778,4095,409,447,6.12,4.85,6.47,HELLO
778,4095,409,447,5.90,4.86,6.46,HELLO
778,4095,409,447,5.94,4.86,6.35,HELLO
778,4095,410,447,5.94,4.87,6.42,HELLO
777,4095,410,447,6.03,4.83,6.45,HELLO
778,4095,410,447,6.01,4.81,6.50,HELLO
778,4095,410,447,6.05,4.86,6.46,HELLO
778,4095,410,447,5.97,4.90,6.49,HELLO
778,4095,410,447,6.19,5.08,6.75,HELLO
778,4095,410,447,5.92,4.97,6.45,HELLO
778,4095,409,448,5.69,4.92,6.77,HELLO
778,4095,410,448,5.65,4.80,6.82,HELLO
779,4095,409,448,5.75,4.76,6.89,HELLO
778,4095,409,448,5.88,4.83,6.76,HELLO
778,4095,409,448,5.98,4.93,6.54,HELLO
778,4095,409,448,5.83,4.97,6.55,HELLO
778,4095,409,448,5.74,4.82,6.68,HELLO
778,4095,409,448,5.80,4.84,6.70,HELLO
778,4095,409,448,5.60,4.75,6.75,HELLO
778,4095,409,447,5.67,4.79,6.81,HELLO
778,4095,409,447,5.69,4.82,6.78,HELLO
778,4095,409,447,5.65,4.87,6.91,HELLO
778,4095,409,447,5.82,4.90,6.89,HELLO
777,4095,409,447,5.68,4.90,7.02,HELLO
777,4095,409,447,5.69,4.82,7.03,HELLO
777,4095,409,447,5.78,4.79,6.91,HELLO
778,4095,409,447,5.75,4.79,6.74,HELLO
777,4095,409,447,5.67,4.87,6.68,HELLO
778,4095,410,447,5.65,4.78,6.55,HELLO
778,4095,409,447,5.61,4.77,6.59,HELLO
778,4095,410,447,5.78,4.71,6.67,HELLO
778,4095,409,447,5.83,4.61,6.68,HELLO
778,4095,409,447,5.75,4.66,6.60,HELLO
778,4095,409,447,5.78,4.63,6.55,HELLO
778,4095,409,447,5.84,4.76,6.52,HELLO
779,4095,410,447,6.04,4.84,6.60,HELLO
779,4095,410,447,5.92,4.89,6.59,HELLO
779,4095,409,447,5.83,4.94,6.52,HELLO
779,4095,410,447,6.13,4.92,6.56,HELLO
779,4095,409,447,6.17,4.93,6.31,HELLO
779,4095,410,447,6.03,4.91,6.22,HELLO
779,4095,409,447,6.07,4.92,6.19,HELLO
779,4095,410,447,6.13,4.84,5.98,HELLO
779,4095,409,447,5.92,4.91,6.24,HELLO
779,4095,409,447,5.85,4.99,6.29,HELLO
779,4095,409,447,5.91,5.16,6.15,HELLO
779,4095,410,447,5.98,5.06,6.39,HELLO
779,4095,409,447,6.21,5.02,6.38,HELLO
779,4095,410,447,6.20,5.04,6.35,HELLO
779,4095,410,447,5.94,4.96,6.30,HELLO
779,4095,410,447,5.82,4.98,6.23,HELLO
779,4095,410,446,5.92,4.94,6.06,HELLO
779,4095,411,446,6.02,5.05,6.21,HELLO
779,4095,411,446,6.19,5.16,6.15,HELLO
779,4095,411,446,6.30,5.31,6.41,HELLO
779,4095,411,446,6.01,5.33,6.54,HELLO
778,4095,411,446,6.01,5.25,6.55,HELLO
779,4095,411,446,6.04,5.14,6.40,HELLO
779,4095,410,447,5.87,5.15,6.39,HELLO
778,4095,410,447,5.71,5.03,6.36,HELLO
779,4095,410,447,5.67,5.04,6.45,HELLO
779,4095,410,447,5.64,4.88,6.66,HELLO
779,4095,410,447,5.55,4.83,6.80,HELLO
779,4095,410,447,5.64,4.86,6.76,HELLO
779,4095,410,447,5.57,4.83,6.88,HELLO
779,4095,410,447,5.53,4.93,6.89,HELLO
779,4095,410,448,5.49,4.96,7.01,HELLO
779,4095,410,448,5.44,4.94,7.02,HELLO
779,4095,410,448,5.52,4.88,6.96,HELLO
779,4095,409,448,5.35,4.81,7.21,HELLO
780,4095,410,448,5.40,4.81,7.26,HELLO
780,4095,409,448,5.22,4.72,7.31,HELLO
780,4095,409,448,5.24,4.67,7.43,HELLO
780,4095,411,447,5.23,4.65,7.47,HELLO
780,4095,411,447,5.22,4.58,7.65,HELLO
780,4095,411,448,5.38,4.52,7.56,HELLO
780,4095,411,448,5.23,4.54,7.53,HELLO
780,4095,411,447,5.43,4.47,7.49,HELLO
780,4095,411,448,5.33,4.52,7.33,HELLO
779,4095,411,448,5.14,4.50,7.39,HELLO
779,4095,411,448,5.33,4.40,7.25,HELLO
779,4095,411,448,5.45,4.39,7.12,HELLO
779,4095,411,448,5.66,4.36,6.96,HELLO
779,4095,410,448,5.60,4.38,7.01,HELLO
779,4095,410,448,5.58,4.43,6.96,HELLO
779,4095,410,448,5.74,4.50,6.74,HELLO
779,4095,410,448,5.88,4.53,6.64,HELLO
778,4095,410,448,5.95,4.68,6.63,HELLO
778,4095,410,448,5.96,4.62,6.54,HELLO
779,4095,410,448,5.90,4.65,6.60,HELLO
778,4095,410,448,6.07,4.62,6.46,HELLO
778,4095,410,448,6.05,4.60,6.38,HELLO
778,4095,410,448,6.14,4.61,6.19,HELLO
778,4095,410,448,6.04,4.69,6.18,HELLO
778,4095,409,448,5.94,4.73,6.13,HELLO
778,4095,409,447,6.03,4.83,6.22,HELLO
778,4095,409,447,6.16,4.95,6.09,HELLO
778,4095,409,447,6.05,5.20,6.16,HELLO
778,4095,409,447,6.15,5.16,6.19,HELLO
778,4095,410,447,6.42,5.18,6.08,HELLO
778,4095,410,447,6.54,5.29,5.95,HELLO
778,4095,410,447,6.28,5.34,5.98,HELLO
778,4095,410,447,6.10,5.17,6.07,HELLO
778,4095,410,447,6.09,5.11,5.98,HELLO
778,4095,410,447,5.97,4.96,5.96,HELLO
778,4095,410,447,5.84,4.79,6.25,HELLO
778,4095,409,447,5.97,4.89,6.13,HELLO
778,4095,409,447,5.86,5.04,6.33,HELLO
778,4095,410,447,5.77,5.02,6.69,HELLO
778,4095,410,447,5.93,5.06,6.70,HELLO
778,4095,410,447,5.78,5.05,7.01,HELLO
778,4095,410,447,5.81,5.02,7.13,HELLO
778,4095,410,447,5.66,5.18,6.97,HELLO
