f1,f2,f3,f4,ax,ay,az,label
0.206,1.000,0.109,0.109,0.158,-0.212,0.998,HELLO
0.206,1.000,0.109,0.109,0.158,-0.211,1.002,HELLO
0.206,1.000,0.109,0.109,0.156,-0.205,0.986,HELLO
0.206,1.000,0.109,0.109,0.151,-0.205,0.996,HELLO
0.206,1.000,0.109,0.109,0.146,-0.206,0.992,HELLO
0.206,1.000,0.109,0.109,0.142,-0.204,0.992,HELLO
0.206,1.000,0.109,0.109,0.139,-0.205,1.010,HELLO
0.206,1.000,0.109,0.109,0.140,-0.206,1.008,HELLO
0.206,1.000,0.109,0.109,0.141,-0.212,1.010,HELLO
0.206,1.000,0.109,0.109,0.145,-0.207,1.010,HELLO
0.206,1.000,0.109,0.109,0.157,-0.202,1.001,HELLO
0.206,1.000,0.109,0.109,0.149,-0.202,1.000,HELLO
0.206,1.000,0.109,0.109,0.154,-0.205,0.999,HELLO
0.206,1.000,0.109,0.109,0.154,-0.208,1.000,HELLO
0.206,1.000,0.109,0.109,0.155,-0.204,1.001,HELLO
0.206,1.000,0.109,0.109,0.157,-0.205,0.994,HELLO
0.206,1.000,0.109,0.109,0.159,-0.201,0.982,HELLO
0.206,1.000,0.109,0.109,0.163,-0.190,0.970,HELLO
0.206,1.000,0.109,0.109,0.164,-0.195,0.960,HELLO
0.206,1.000,0.109,0.109,0.183,-0.182,0.933,HELLO
0.205,1.000,0.109,0.109,0.184,-0.173,0.895,HELLO
0.206,1.000,0.109,0.109,0.129,-0.225,1.003,HELLO
0.206,1.000,0.109,0.109,0.188,-0.263,0.977,HELLO
0.206,1.000,0.109,0.109,0.247,-0.237,0.883,HELLO
0.206,1.000,0.109,0.109,0.227,-0.223,0.813,HELLO
0.206,1.000,0.109,0.109,0.182,-0.228,0.827,HELLO
0.206,1.000,0.109,0.109,0.099,-0.312,0.990,HELLO
0.206,1.000,0.109,0.109,0.143,-0.367,0.991,HELLO
0.205,1.000,0.109,0.109,0.158,-0.367,0.991,HELLO
0.206,1.000,0.109,0.109,0.142,-0.365,1.027,HELLO
0.205,1.000,0.109,0.109,0.058,-0.385,1.111,HELLO
0.206,1.000,0.109,0.109,0.005,-0.403,1.174,HELLO
0.206,1.000,0.109,0.109,0.031,-0.396,1.187,HELLO
0.206,1.000,0.109,0.109,0.079,-0.352,1.137,HELLO
0.206,1.000,0.109,0.109,0.094,-0.321,1.197,HELLO
0.206,1.000,0.109,0.109,0.082,-0.302,1.258,HELLO
0.206,1.000,0.109,0.109,-0.008,-0.246,1.327,HELLO
0.205,1.000,0.109,0.109,-0.123,-0.238,1.391,HELLO
0.205,1.000,0.109,0.109,-0.250,-0.164,1.368,HELLO
0.205,1.000,0.109,0.109,-0.303,-0.111,1.234,HELLO
0.205,1.000,0.109,0.109,-0.385,-0.039,1.124,HELLO
0.205,1.000,0.109,0.109,-0.339,0.012,1.036,HELLO
0.206,1.000,0.109,0.109,-0.335,0.031,0.954,HELLO
0.206,1.000,0.109,0.109,-0.282,0.070,0.948,HELLO
0.206,1.000,0.109,0.109,-0.342,0.081,0.904,HELLO
0.206,1.000,0.109,0.109,-0.365,0.107,0.844,HELLO
0.206,1.000,0.109,0.109,-0.354,0.129,0.806,HELLO
0.206,1.000,0.109,0.109,-0.312,0.153,0.852,HELLO
0.206,1.000,0.109,0.109,-0.254,0.175,0.845,HELLO
0.206,1.000,0.109,0.109,-0.152,0.204,0.778,HELLO
0.206,1.000,0.109,0.109,-0.014,0.215,0.710,HELLO
0.206,1.000,0.109,0.109,0.069,0.253,0.720,HELLO
0.206,1.000,0.109,0.109,0.125,0.268,0.780,HELLO
0.206,1.000,0.109,0.109,0.200,0.310,0.834,HELLO
0.206,1.000,0.109,0.109,0.208,0.307,0.907,HELLO
0.206,1.000,0.109,0.109,0.157,0.336,0.953,HELLO
0.206,1.000,0.109,0.109,0.148,0.352,0.976,HELLO
0.206,1.000,0.109,0.109,0.151,0.386,0.976,HELLO
0.206,1.000,0.109,0.109,0.103,0.391,0.985,HELLO
0.206,1.000,0.109,0.109,0.102,0.407,0.971,HELLO
0.206,1.000,0.109,0.109,0.108,0.424,0.977,HELLO
0.206,1.000,0.109,0.109,0.164,0.411,0.950,HELLO
0.206,1.000,0.109,0.109,0.168,0.399,0.948,HELLO
0.206,1.000,0.109,0.109,0.146,0.388,0.981,HELLO
0.206,1.000,0.109,0.109,0.176,0.349,0.956,HELLO
0.206,1.000,0.109,0.109,0.222,0.356,0.878,HELLO
0.206,1.000,0.109,0.109,0.200,0.389,0.858,HELLO
0.206,1.000,0.109,0.109,0.158,0.388,0.944,HELLO
0.206,1.000,0.109,0.109,0.194,0.356,0.961,HELLO
0.206,1.000,0.109,0.109,0.298,0.281,0.740,HELLO
0.206,1.000,0.109,0.109,0.137,0.298,0.898,HELLO
0.206,1.000,0.109,0.109,0.038,0.219,0.924,HELLO
